"用户信息_学段","用户信息_学科","课程信息_年级","教师行为_板书时长","教师行为_讲授时长","教师行为_巡视时长","教师行为_课件操作时长","教师行为_师生对话时长","教师行为_观察时长","学生行为_读写时长","学生行为_举手时长","学生行为_听讲时长","学生行为_生生互动时长","学生行为_应答时长","学生行为_上台展示时长","教学场景_知识讲解时长","教学场景_作业练习时长","教学场景_汇报展示时长","教学场景_小组学习时长","教学场景_师生对话时长","教学场景_知识讲解个数","教学场景_作业练习个数","教学场景_汇报展示个数","教学场景_小组学习个数","教学场景_师生对话个数","教学场景_知识讲解占比","教学场景_作业练习占比","教学场景_汇报展示占比","教学场景_小组学习占比","教学场景_师生对话占比","参与度_总参与度","参与度_知识讲解","参与度_作业练习","参与度_汇报展示","参与度_小组学习","参与度_师生对话","一致性_总一致性","一致性_知识讲解","一致性_作业练习","一致性_汇报展示","一致性_小组学习","一致性_师生对话","抬头率_总抬头率","抬头率_知识讲解","抬头率_作业练习","抬头率_汇报展示","抬头率_小组学习","抬头率_师生对话","活跃度_总活跃度","活跃度_知识讲解","活跃度_作业练习","活跃度_汇报展示","活跃度_小组学习","活跃度_师生对话","知识讲解场景_话语讲授时长","知识讲解场景_板书时长","知识讲解场景_课件操作时长","知识讲解场景_互动时长","知识讲解场景_停顿时长","知识讲解场景_话语讲授占比","知识讲解场景_板书占比","知识讲解场景_课件操作占比","知识讲解场景_互动占比","知识讲解场景_停顿占比","知识讲解场景_平均语速分钟个数","知识讲解场景_最低语速分钟个数","知识讲解场景_最高语速分钟个数","知识讲解场景_口头禅个数","知识讲解场景_口头禅总次数","知识讲解场景_巡视时长(分钟)","知识讲解场景_巡视次数","知识讲解场景_巡视位置是否均衡","师生对话场景_老师话语时长","师生对话场景_学生直接应答时长","师生对话场景_学生站立应答时长","师生对话场景_齐答时长","师生对话场景_沉寂混乱时长","师生对话场景_老师话语占比","师生对话场景_学生直接应答占比","师生对话场景_学生站立应答占比","师生对话场景_齐答占比","师生对话场景_沉寂混乱占比","全课堂_师生对话次数","全课堂_短应答次数","全课堂_长应答次数","全课堂_齐答次数","全课堂_声音过低次数","全课堂_短应答占比","全课堂_长应答占比","全课堂_齐答占比","全课堂_声音过低占比","全课堂_应答时长<1秒次数","全课堂_应答时长1-2秒次数","全课堂_应答时长2-3秒次数","全课堂_应答时长3-4秒次数","全课堂_应答时长>4秒次数","全课堂_举手次数","全课堂_举手人次","全课堂_1人举手次数","全课堂_2-3人举手次数","全课堂_4-6人举手次数","全课堂_7-10人举手次数","全课堂_>10人举手次数","全课堂_站立应答次数","全课堂_站立应答分布是否均衡","课堂问题_总个数","课堂问题_是何问题个数","课堂问题_为何问题个数","课堂问题_如何问题个数","课堂问题_若何问题个数","课堂问题_其他问题个数","课堂问题_是何问题占比","课堂问题_为何问题占比","课堂问题_如何问题占比","课堂问题_若何问题占比","课堂问题_其他问题占比","ST分析_是否有长达2以上的学生主导时间","ST分析_是否有长达1以上的老师主导时间","ST分析_Rt值是否在0.35~0.6之间","ST分析_Ch值是否在0.3~0.5之间","ST分析_教师占有率","ST分析_学生占有率","ST分析_师生行为转换率"
"初中","英语","初二",85,1097,1836,42,430,0,24,27,2339,141,52,0,1441,519,0,141,430,31,17,0,4,28,57.2,20.6,0,5.6,17.1,65.9,66.6,56.2,0,92.7,66.7,56.0,57.9,51.3,0,55.1,55.6,72.7,63.4,92.6,0,92.3,73.4,30.4,29.0,34.2,0,37.5,28.5,1063,50,42,110,292,69.7,3.5,2.9,7.6,20.3,232,100,454,3,85,30,14,0,166,44,6,2,212,38.6,10.2,1.4,0.5,49.3,13,6,1,0,6,46.2,7.7,0.0,46.2,4,2,1,0,0,0,0,0,0,0,0,0,8,0,83,22,3,3,1,54,27,4,4,1,65,0,0,1,0,0.57,0.43,0.33
"初中","英语","初四",0,1096,304,0,232,0,39,0,2346,0,136,0,1196,1086,0,0,232,3,6,0,0,6,47.5,43.1,0,0.0,9.2,71.7,68.1,76.9,0,0.0,66.0,64.3,58.3,70.9,0,0.0,64.2,54.7,66.0,43.9,0,0.0,47.0,26.9,21.4,32.2,0,0.0,30.5,1096,0,0,13,87,91.6,0.0,0.0,1.1,7.3,365,176,1105,2,33,5,7,0,9,121,14,1,87,3.9,52.2,6.0,0.4,37.5,1,1,0,0,0,100.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,36,9,0,3,1,23,25,0,8,3,64,1,0,1,0,0.46,0.54,0.07
"初中","语文","初四",220,1126,860,101,193,0,24,13,2362,87,50,0,1238,996,0,87,193,22,12,0,3,14,49.1,39.5,0,3.5,7.7,75.3,70.7,80.1,0,94.6,71.4,66.2,59.4,76.1,0,55.1,63.5,42.3,54.0,24.1,0,70.0,48.5,26.0,24.3,27.9,0,26.4,27.0,1067,135,101,47,242,71.9,10.9,8.2,3.8,19.5,278,126,461,2,83,14,29,0,70,49,1,0,73,36.3,25.4,0.5,0.0,37.8,8,1,7,0,0,12.5,87.5,0.0,0.0,0,1,2,1,4,0,0,0,0,0,0,0,2,0,122,54,3,7,0,58,44,3,6,0,48,0,0,1,0,0.5,0.5,0.17
"初中","英语","初四",156,1884,1548,72,68,0,8,8,2338,163,9,0,2175,108,0,163,68,11,4,0,3,4,86.3,4.3,0,6.5,2.7,69.8,67.0,78.9,0,95.1,81.7,64.8,65.5,73.2,0,49.3,63.1,45.8,44.2,44.8,0,48.7,91.4,24.7,21.9,28.2,0,59.8,22.7,1819,130,72,141,287,77.3,6.0,3.3,6.5,13.2,427,148,1140,2,116,25,22,0,25,9,0,0,34,36.8,13.2,0.0,0.0,50.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,90,3,15,2,98,43,1,7,1,47,0,0,0,0,0.84,0.16,0.17
"初中","英语","初三",0,637,2060,0,125,0,13,12,2371,112,15,0,735,1538,0,112,125,14,10,0,3,6,29.2,61.0,0,4.4,5.0,76.0,66.5,80.1,0,93.7,66.0,64.2,53.9,71.5,0,44.2,53.2,35.0,38.4,33.2,0,21.5,49.4,26.3,24.5,24.1,0,67.9,27.0,637,0,0,17,81,86.7,0.0,0.0,2.3,11.0,418,177,1067,3,44,34,11,0,65,14,0,1,45,52.0,11.2,0.0,0.8,36.0,5,4,0,1,0,80.0,0.0,20.0,0.0,2,2,0,0,0,1,0,0,1,0,0,0,2,0,40,17,2,0,0,21,43,5,0,0,53,1,0,0,0,0.3,0.7,0.12
"初中","语文","初二",156,1588,1128,126,206,0,19,56,2407,71,36,0,1900,338,0,71,206,20,4,0,5,14,75.4,13.4,0,2.8,8.2,71.0,72.0,57.7,0,91.8,76.3,58.4,58.5,55.8,0,63.3,60.4,94.0,97.9,67.5,0,100.0,99.1,24.3,20.0,52.6,0,20.7,18.5,1505,124,126,196,283,70.4,6.5,6.6,10.3,14.9,218,96,345,3,150,18,25,0,103,32,0,4,67,50.0,15.5,0.0,1.9,32.5,5,3,0,2,0,60.0,0.0,40.0,0.0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,108,53,1,6,0,48,49,1,6,0,44,0,0,0,0,0.77,0.23,0.15
"初中","英语","初二",155,1296,948,0,202,0,19,5,2421,52,28,0,1553,707,0,52,202,17,12,0,2,11,61.6,28.1,0,2.1,8.0,71.4,67.8,78.8,0,91.6,68.5,59.3,54.9,69.4,0,65.4,56.6,62.9,70.7,43.1,0,43.0,77.2,25.6,22.0,33.0,0,24.1,28.1,1271,110,0,87,255,76.4,7.1,0.0,5.6,16.4,297,160,474,2,16,15,7,0,64,24,3,1,110,31.7,11.9,1.5,0.5,54.5,5,2,1,0,2,40.0,20.0,0.0,40.0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,88,38,6,4,1,39,43,7,5,1,44,0,0,0,0,0.66,0.34,0.24
"初中","英语","初二",657,1141,1136,0,753,0,73,72,2175,179,130,0,1404,178,0,179,753,43,11,0,7,40,55.7,7.1,0,7.1,29.9,71.2,70.5,62.6,0,92.3,69.5,57.1,57.4,51.2,0,63.5,56.3,77.3,75.3,79.4,0,92.3,77.0,26.9,26.5,29.5,0,23.4,27.9,1077,296,0,96,399,60.2,21.1,0.0,6.8,28.4,348,141,1168,3,151,18,30,0,258,87,40,3,365,34.3,11.6,5.3,0.4,48.5,33,16,7,1,9,48.5,21.2,3.0,27.3,3,13,5,0,2,11,0,7,4,0,0,0,19,0,114,34,12,4,1,63,30,11,4,1,55,0,0,0,0,0.64,0.36,0.32
"初中","语文","初二",223,603,636,0,724,0,104,72,1534,719,207,0,813,254,0,719,724,22,5,0,22,28,32.3,10.1,0,28.5,28.7,76.0,70.4,56.1,0,93.6,71.8,58.0,54.9,52.1,0,61.6,60.0,62.5,63.1,33.2,0,75.6,59.0,28.0,25.0,60.6,0,23.3,24.5,567,85,0,103,156,63.7,10.5,0.0,12.7,19.2,247,123,454,3,52,10,24,0,244,163,42,2,273,33.7,22.5,5.8,0.3,37.7,33,18,9,3,3,54.5,27.3,9.1,9.1,6,12,4,3,2,13,0,9,4,0,0,0,6,0,82,25,2,1,0,54,31,2,1,0,66,0,0,1,0,0.41,0.59,0.28
"初中","英语","初二",551,1321,1492,0,400,0,47,70,2163,238,84,0,1485,387,0,238,400,29,15,0,7,24,58.9,15.4,0,9.4,15.9,69.9,67.4,65.7,0,94.1,68.6,57.2,58.5,57.6,0,51.6,55.4,59.5,54.5,64.2,0,64.0,70.7,31.9,29.2,31.4,0,52.1,30.4,1291,270,0,43,361,70.8,18.2,0.0,2.9,24.3,358,127,978,3,112,24,24,0,140,83,1,0,176,35.0,20.7,0.2,0.0,44.0,11,5,6,0,0,45.5,54.5,0.0,0.0,1,4,2,3,1,3,0,3,0,0,0,0,1,0,108,42,6,2,1,57,39,6,2,1,53,0,0,0,0,0.61,0.39,0.22
"初中","语文","初四",167,1141,608,235,954,0,166,12,1707,212,449,0,1256,93,0,212,954,28,7,0,12,31,49.8,3.7,0,8.4,37.9,79.6,79.8,59.2,0,91.0,78.8,62.5,63.4,51.4,0,59.2,63.2,85.9,87.2,69.2,0,82.4,86.7,16.5,15.0,25.3,0,18.5,17.2,1074,99,235,57,325,64.3,7.9,18.7,4.5,25.9,289,159,482,3,50,10,39,0,134,329,116,4,371,14.0,34.5,12.2,0.4,38.9,19,4,10,2,3,21.1,52.6,10.5,15.8,0,4,3,3,4,2,0,2,0,0,0,0,12,0,86,32,6,3,0,45,37,7,4,0,52,0,0,1,0,0.57,0.43,0.21
"初中","英语","初一",40,670,488,123,312,0,36,33,1836,610,36,0,806,784,0,610,312,24,19,0,14,19,32.0,31.1,0,24.2,12.4,70.9,68.7,55.4,0,93.3,72.0,54.3,54.8,52.2,0,56.1,54.6,66.1,58.4,71.3,0,69.4,66.3,31.1,27.9,31.2,0,31.2,38.7,553,4,123,19,127,67.4,0.5,15.3,2.4,15.8,342,114,1000,3,120,8,29,1,43,27,4,5,233,13.8,8.7,1.3,1.6,74.7,3,2,0,0,1,66.7,0.0,0.0,33.3,0,2,0,0,0,0,0,0,0,0,0,0,2,1,29,3,0,1,0,25,10,0,3,0,86,0,0,0,0,0.34,0.66,0.21
"初中","英语","初三",67,707,1852,56,201,0,22,16,2426,12,54,0,824,1477,0,12,201,13,14,0,1,9,32.7,58.6,0,0.5,8.0,78.1,67.9,85.1,0,76.1,68.9,76.6,72.8,79.6,0,39.1,72.8,27.3,31.2,24.0,0,58.1,33.1,20.8,22.0,20.6,0,13.2,17.6,683,24,56,16,157,76.1,2.9,6.8,1.9,19.1,450,157,1217,2,17,30,15,0,53,27,0,27,94,26.4,13.4,0.0,13.4,46.8,4,3,0,1,0,75.0,0.0,25.0,0.0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,27,9,1,2,0,15,33,4,7,0,56,1,0,0,0,0.34,0.66,0.17
"初中","英语","初二",399,885,1004,0,941,0,101,40,2135,145,203,0,1173,256,0,145,941,42,10,0,9,38,46.5,10.2,0,5.8,37.3,69.5,68.7,59.4,0,88.0,70.4,52.8,52.7,52.0,0,55.7,52.7,87.0,86.4,89.6,0,88.9,86.7,26.4,26.5,30.8,0,24.9,25.4,842,150,0,106,289,62.7,12.8,0.0,9.0,24.6,344,108,1472,3,139,16,31,0,306,130,68,5,432,32.5,13.8,7.2,0.5,45.9,40,14,9,4,13,35.0,22.5,10.0,32.5,4,10,6,1,2,8,0,7,1,0,0,0,26,0,86,27,6,2,0,51,31,7,2,0,59,0,0,1,0,0.56,0.44,0.38
"初中","英语","初一",0,1616,2336,10,410,0,36,12,2375,41,98,0,1928,132,0,41,410,20,5,0,1,17,76.5,5.2,0,1.6,16.3,66.9,66.0,75.1,0,95.1,65.4,57.9,57.2,68.7,0,47.7,58.8,41.3,41.9,32.0,0,62.9,39.5,27.4,26.9,33.4,0,29.5,27.5,1613,0,10,124,195,83.3,0.0,0.5,6.4,10.1,364,133,1090,3,48,38,5,0,157,90,6,2,155,38.3,22.0,1.5,0.5,37.8,13,5,4,1,3,38.5,30.8,7.7,23.1,3,2,2,0,2,2,0,2,0,0,0,0,6,0,157,31,7,5,1,113,20,5,3,1,72,0,0,0,0,0.79,0.21,0.23
"初中","语文","初二",400,1544,1484,72,469,0,53,44,2310,78,96,0,1826,138,0,78,469,33,8,0,5,26,72.5,5.5,0,3.1,18.6,71.0,71.3,63.2,0,92.2,68.7,58.6,59.5,57.0,0,65.8,54.7,79.2,79.5,74.1,0,90.0,78.1,27.2,26.2,31.3,0,27.3,30.0,1474,311,72,63,531,63.6,17.0,3.9,3.5,29.1,265,136,489,3,124,24,21,0,147,88,8,0,226,31.3,18.8,1.7,0.0,48.2,14,4,8,0,2,28.6,57.1,0.0,14.3,1,3,3,5,0,2,0,2,0,0,0,0,4,0,153,62,8,3,1,79,41,5,2,1,52,0,0,0,0,0.71,0.29,0.31
"初中","英语","初四",4,942,1668,126,234,0,39,16,2160,191,130,0,1029,1061,0,191,234,11,6,0,5,7,40.8,42.1,0,7.6,9.3,80.0,69.3,90.7,0,91.3,68.8,73.1,61.7,85.8,0,63.5,74.1,29.0,41.8,15.3,0,43.5,22.8,21.1,22.3,19.7,0,21.7,21.6,890,0,126,29,132,79.3,0.0,12.2,2.8,12.8,424,173,987,2,52,27,11,0,11,122,4,4,93,4.7,52.1,1.7,1.7,39.7,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,0,2,0,23,31,0,6,0,64,1,0,1,0,0.41,0.59,0.1
"初中","语文","初四",0,1343,88,0,287,0,24,0,2333,120,59,0,1702,402,0,120,287,17,12,0,3,13,67.5,16.0,0,4.8,11.4,69.4,66.5,77.0,0,92.9,65.9,58.6,56.2,67.8,0,57.8,60.2,59.1,61.5,56.6,0,47.5,52.9,23.9,22.2,21.7,0,49.3,26.5,1343,0,0,127,232,78.9,0.0,0.0,7.5,13.6,280,179,432,2,103,1,8,1,102,52,3,4,126,35.5,18.1,1.0,1.4,43.9,3,1,0,2,0,33.3,0.0,66.7,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,102,57,6,9,0,30,56,6,9,0,29,0,0,0,0,0.72,0.28,0.28
"初中","语文","初四",0,1193,1168,0,650,0,129,14,1733,390,282,0,1411,64,0,390,650,23,3,0,11,21,56.0,2.5,0,15.5,25.8,77.7,73.7,69.3,0,90.6,79.5,57.8,55.9,61.2,0,57.0,61.9,79.3,77.0,49.1,0,79.0,87.3,20.0,20.0,24.9,0,22.3,18.3,1193,0,0,80,138,84.5,0.0,0.0,5.7,9.8,283,107,459,3,58,19,25,0,62,249,33,0,306,9.5,38.3,5.1,0.0,47.1,9,1,7,0,1,11.1,77.8,0.0,11.1,0,1,1,3,3,2,0,2,0,0,0,0,2,1,108,51,9,4,0,44,47,8,4,0,41,0,0,1,0,0.54,0.46,0.21
"初中","语文","初一",159,662,1260,0,145,0,15,29,2426,55,28,0,843,1471,0,55,145,22,19,0,3,13,33.5,58.4,0,2.2,5.8,75.6,67.6,80.4,0,87.8,68.6,66.9,56.6,73.7,0,54.5,61.1,40.2,54.4,29.9,0,78.5,47.3,29.7,28.5,30.7,0,21.0,29.2,638,71,0,60,168,70.1,8.4,0.0,7.1,19.9,242,80,395,2,27,21,20,0,45,25,0,3,72,31.0,17.2,0.0,2.1,49.7,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,31,0,2,0,33,47,0,3,0,50,1,0,0,0,0.34,0.66,0.19
"初中","英语","初三",82,1489,636,0,404,0,39,9,2422,0,72,0,1694,417,0,0,404,26,10,0,0,22,67.2,16.5,0,0.0,16.0,68.1,66.3,73.2,0,0.0,70.4,60.1,59.7,65.5,0,0.0,56.3,42.5,40.8,46.1,0,0.0,45.7,25.4,22.8,26.2,0,0.0,35.9,1481,42,0,67,172,85.4,2.5,0.0,4.0,10.2,449,190,1225,3,54,10,23,0,147,62,6,4,185,36.4,15.3,1.5,1.0,45.8,12,5,5,1,1,41.7,41.7,8.3,8.3,1,4,3,2,0,1,0,1,0,0,0,0,3,1,118,29,8,9,1,71,25,7,8,1,60,0,0,0,0,0.7,0.3,0.22
"初中","数学","初三",544,1166,496,5,459,0,61,15,2240,140,80,0,1292,623,0,140,459,31,23,0,5,24,51.3,24.7,0,5.6,18.2,71.6,68.2,76.0,0,92.5,68.8,55.8,55.1,65.1,0,49.4,47.1,40.9,39.2,44.4,0,32.2,43.5,22.9,20.2,22.3,0,44.5,24.4,1103,319,5,26,361,65.2,24.7,0.4,2.0,27.9,282,162,454,3,102,8,29,1,86,65,14,1,293,18.7,14.2,3.1,0.2,63.8,8,3,3,0,2,37.5,37.5,0.0,25.0,0,3,1,1,1,4,0,3,1,0,0,0,5,1,86,33,3,5,1,44,38,4,6,1,51,0,0,1,0,0.53,0.47,0.23
"初中","语文","初一",289,1169,1124,40,714,0,113,72,2025,183,219,0,1373,244,0,183,714,34,10,0,10,36,54.5,9.7,0,7.3,28.3,70.5,69.9,59.3,0,89.9,70.4,56.7,57.0,52.0,0,56.6,57.5,70.6,72.2,52.5,0,69.7,74.1,27.7,24.3,48.9,0,27.6,27.1,1120,137,40,39,293,72.3,10.0,2.9,2.8,21.3,259,143,439,3,62,18,23,0,85,196,11,12,410,11.9,27.5,1.5,1.7,57.4,13,4,8,1,0,30.8,61.5,7.7,0.0,1,3,5,1,2,3,0,3,0,0,0,0,2,0,58,17,1,3,0,37,29,2,5,0,64,0,0,1,0,0.53,0.47,0.27
"初中","数学","初一",406,1473,1368,0,726,0,138,24,2087,85,251,0,1614,102,0,85,726,32,6,0,3,30,64.0,4.0,0,3.4,28.8,68.4,67.3,70.0,0,92.6,67.7,55.3,56.3,61.0,0,49.8,52.9,41.4,40.2,41.5,0,53.4,42.7,27.1,25.5,28.1,0,63.7,26.5,1453,170,0,43,248,80.7,10.5,0.0,2.7,15.4,300,175,517,2,91,22,19,0,148,124,125,2,327,20.4,17.1,17.2,0.3,45.0,22,8,11,0,3,36.4,50.0,0.0,13.6,4,4,6,2,3,3,0,3,0,0,0,0,19,0,95,28,3,4,1,59,30,3,4,1,62,0,0,0,0,0.65,0.35,0.27
"初中","数学","初一",373,1451,1544,66,280,0,29,36,2374,93,42,0,1654,503,0,93,280,18,8,0,4,13,65.6,20.0,0,3.7,11.1,67.1,69.2,53.7,0,93.4,70.3,48.8,50.4,44.0,0,53.2,46.1,68.0,73.1,59.5,0,57.0,56.8,34.0,26.0,50.6,0,44.1,47.9,1376,320,66,60,454,64.4,19.3,4.0,3.6,27.4,268,137,409,3,62,25,16,0,36,36,2,4,202,12.9,12.9,0.7,1.4,72.1,4,0,2,0,2,0.0,50.0,0.0,50.0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,84,20,5,2,0,57,24,6,2,0,68,0,0,0,0,0.63,0.37,0.18
"初中","英语","初二",21,711,340,74,896,0,198,17,1843,31,476,0,889,698,0,31,896,15,14,0,1,13,35.3,27.7,0,1.2,35.6,70.8,67.9,77.9,0,94.9,67.4,63.0,57.1,71.7,0,64.8,62.0,64.3,77.8,46.2,0,43.7,65.6,26.5,25.6,25.0,0,28.9,28.4,670,6,74,82,135,71.0,0.7,8.3,9.2,15.2,374,188,1034,3,102,5,19,0,64,473,1,2,356,7.1,52.8,0.1,0.2,39.7,6,0,2,3,1,0.0,33.3,50.0,16.7,0,0,0,0,2,3,0,1,2,0,0,0,1,0,86,17,5,2,0,62,20,6,2,0,72,0,0,1,0,0.48,0.52,0.23
"初中","数学","初二",441,1093,672,230,851,0,82,12,2030,310,134,0,1321,32,0,310,851,43,2,0,13,42,52.4,1.3,0,12.3,33.8,73.0,70.0,57.6,0,92.5,71.0,55.7,55.2,53.5,0,58.1,55.7,83.4,82.4,72.7,0,87.8,83.8,25.1,23.3,21.7,0,34.0,25.0,919,228,230,111,401,48.1,17.3,17.4,8.4,30.4,260,125,575,3,46,11,18,0,272,115,15,4,445,32.0,13.5,1.8,0.5,52.3,32,12,9,2,9,37.5,28.1,6.2,28.1,2,10,3,5,1,1,0,1,0,0,0,0,11,0,110,43,8,16,0,43,39,7,15,0,39,0,0,0,0,0.63,0.37,0.33
"初中","语文","初三",108,839,1556,16,62,0,9,16,2455,37,18,0,980,1435,0,37,62,8,3,0,2,4,38.9,56.9,0,1.5,2.5,82.8,66.4,94.6,0,86.7,67.0,82.6,71.2,91.9,0,41.1,70.8,18.9,32.0,8.8,0,48.2,29.8,22.7,27.1,18.0,0,78.0,27.9,830,76,16,42,182,76.2,7.8,1.6,4.3,18.6,256,112,494,2,43,25,23,0,14,17,1,0,30,22.6,27.4,1.6,0.0,48.4,2,1,1,0,0,50.0,50.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,55,25,3,3,0,24,46,6,6,0,44,1,0,1,0,0.38,0.62,0.09
"初中","数学","初二",339,935,844,44,622,0,61,24,2031,342,103,0,1207,340,0,342,622,31,13,0,6,30,47.9,13.5,0,13.6,24.7,75.4,71.5,72.5,0,96.9,72.5,63.6,61.7,67.8,0,68.2,62.5,73.8,87.1,56.7,0,47.0,72.2,26.3,21.8,26.0,0,40.7,27.5,852,141,44,94,279,62.1,11.7,3.6,7.8,23.1,286,99,562,3,99,14,26,0,157,88,13,2,362,25.2,14.1,2.1,0.3,58.2,10,5,3,1,1,50.0,30.0,10.0,10.0,2,3,3,0,0,1,0,1,0,0,0,0,1,0,100,61,1,4,2,32,61,1,4,2,32,0,0,1,0,0.53,0.47,0.31
"初中","语文","初二",124,793,1132,121,574,0,110,52,1896,271,199,0,961,708,0,271,574,28,13,0,8,26,38.1,28.1,0,10.8,22.8,74.6,71.1,71.1,0,94.0,75.6,61.1,58.3,65.8,0,57.0,62.0,75.2,80.0,65.7,0,71.0,81.0,30.5,28.2,29.6,0,47.3,27.4,752,33,121,44,237,66.5,3.4,12.6,4.6,24.7,213,124,338,3,68,18,37,0,69,122,2,75,306,12.0,21.3,0.3,13.1,53.3,12,1,0,11,0,8.3,0.0,91.7,0.0,0,1,0,0,0,4,0,3,1,0,0,0,1,0,60,25,2,0,1,32,42,3,0,2,53,0,0,1,0,0.38,0.62,0.21
"初中","数学","初二",377,936,832,139,502,0,54,76,2105,279,107,0,1150,583,0,279,502,29,7,0,13,25,45.6,23.1,0,11.1,19.9,75.4,73.8,73.0,0,91.9,72.6,59.7,57.0,70.1,0,57.1,55.4,78.3,89.8,55.2,0,80.0,77.8,23.3,19.8,22.2,0,24.5,31.8,813,182,139,108,304,53.5,15.8,12.1,9.4,26.4,264,158,448,3,58,13,25,0,124,92,8,7,271,24.7,18.3,1.6,1.4,54.0,13,3,2,2,6,23.1,15.4,15.4,46.2,2,1,1,1,0,1,0,1,0,0,0,0,9,0,74,32,0,3,1,38,43,0,4,1,51,0,0,1,0,0.53,0.47,0.23
"初中","数学","初三",352,1780,692,98,336,0,46,4,2284,132,65,0,1962,89,0,132,336,28,6,0,7,23,77.9,3.5,0,5.2,13.3,69.1,67.7,64.0,0,92.5,69.5,55.3,54.6,56.3,0,63.5,55.8,61.2,60.3,61.9,0,84.4,56.7,23.9,23.5,26.2,0,22.4,26.0,1709,285,98,41,453,71.2,14.5,5.0,2.1,23.1,293,126,1008,3,95,11,29,0,123,56,9,0,148,36.6,16.7,2.7,0.0,44.0,9,6,2,0,1,66.7,22.2,0.0,11.1,1,5,1,0,1,1,0,0,1,0,0,0,2,0,103,44,0,5,2,52,43,0,5,2,51,0,0,0,0,0.78,0.22,0.2
"初中","数学","初四",251,1545,1080,115,386,0,49,12,2104,310,59,0,1797,21,0,310,386,32,1,0,12,25,71.3,0.8,0,12.3,15.3,74.0,70.5,66.5,0,94.3,74.2,54.9,53.3,50.5,0,61.2,57.6,71.2,68.8,64.8,0,80.2,75.2,22.0,21.2,55.7,0,23.2,23.1,1449,211,115,72,409,67.8,11.7,6.4,4.0,22.8,277,141,932,3,66,18,27,0,99,46,8,5,228,25.6,11.9,2.1,1.3,59.1,11,3,2,2,4,27.3,18.2,18.2,36.4,2,1,2,0,0,3,0,3,0,0,0,0,7,1,129,32,7,6,2,82,25,5,5,2,64,0,0,0,0,0.71,0.29,0.25
"初中","数学","初四",273,1620,1572,211,414,0,31,0,2377,70,46,0,1987,40,0,70,414,21,2,0,5,20,78.8,1.6,0,2.8,16.4,69.1,67.8,64.7,0,89.9,72.5,51.5,51.0,50.3,0,51.4,53.8,79.3,78.4,78.6,0,85.6,82.7,21.1,19.9,22.6,0,18.9,26.9,1511,175,211,116,528,62.1,8.8,10.6,5.8,26.6,278,128,468,3,114,26,30,1,102,34,8,4,266,24.6,8.2,1.9,1.0,64.3,6,2,1,1,2,33.3,16.7,16.7,33.3,1,1,1,0,0,1,0,1,0,0,0,0,3,1,142,44,10,7,2,79,31,7,5,1,56,0,0,0,0,0.82,0.18,0.22
"初中","数学","初四",44,361,1892,15,600,0,71,8,2341,0,125,0,498,1417,0,0,600,11,16,0,0,18,19.8,56.2,0,0.0,23.8,74.2,68.5,77.2,0,0.0,72.0,63.4,63.3,65.8,0,0.0,57.9,38.6,27.8,42.3,0,0.0,38.7,26.8,20.9,24.6,0,0.0,37.1,343,4,15,52,86,68.7,0.8,3.0,10.4,17.3,300,112,555,3,72,31,16,0,116,108,10,7,359,19.3,18.0,1.7,1.2,59.8,12,5,3,2,2,41.7,25.0,16.7,16.7,2,3,1,1,1,1,0,1,0,0,0,0,5,1,49,9,4,0,0,36,18,8,0,0,74,0,0,0,0,0.29,0.71,0.18
"初中","英语","初四",325,1257,1872,184,380,0,29,4,2438,11,57,0,1468,656,0,11,380,26,11,0,1,25,58.3,26.0,0,0.4,15.1,68.5,66.9,71.2,0,88.8,69.6,57.0,53.4,64.7,0,72.2,57.0,60.6,64.2,46.5,0,100.0,70.1,24.6,23.1,26.1,0,24.3,27.6,1189,193,184,61,458,59.9,13.1,12.5,4.2,31.2,318,77,1111,3,74,31,15,0,126,52,2,3,197,33.2,13.7,0.5,0.8,51.8,7,6,0,1,0,85.7,0.0,14.3,0.0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,109,24,3,7,0,75,22,3,6,0,69,0,0,0,0,0.62,0.38,0.21
